,frame,pos_x,pos_y,maxx,maxy,minx,miny
0,1.0,164.26892387319387,89.62439795845015,212,107,110,71
1,2.0,169.35638034641215,87.66362672322376,217,104,116,70
2,3.0,155.86300324365578,87.350314825415,204,105,97,67
3,4.0,132.26381390388588,86.41031793641272,181,106,72,65
4,5.0,99.0070604209097,88.17277664630006,149,105,41,69
5,6.0,80.45496009122007,85.05762067654884,126,103,38,67
6,7.0,98.14304325169358,89.45301372242487,136,109,62,69
7,8.0,97.60189573459715,88.64514218009478,128,108,62,67
8,9.0,73.81793194957824,87.73339019998105,103,107,43,66
9,10.0,62.65467404674047,88.04879048790487,90,106,37,66
10,11.0,50.89213224523959,92.72190834902699,77,117,26,71
11,12.0,46.931641059897565,92.16956134491204,71,117,24,70
12,13.0,40.65427098674521,93.06087383406971,67,118,18,71
13,14.0,42.47065984903822,91.41977112247382,67,112,21,68
14,15.0,43.39171879654453,88.90298877966438,66,118,19,64
15,16.0,41.08108619547734,88.27627968587377,67,116,15,65
16,17.0,37.573498339873225,85.11288862058557,60,117,15,60
17,18.0,36.73296387520525,88.70556239737273,60,117,14,65
18,19.0,44.822393425783254,91.24735490498202,80,112,15,68
19,20.0,55.73389427163011,88.22556518782933,98,107,19,69
20,21.0,57.66414482572278,89.37854633882735,100,111,21,68
21,22.0,59.73466312056737,88.71808510638297,100,111,24,67
22,23.0,58.42659105229993,88.95679179044018,100,109,22,67
23,24.0,59.98711316816408,89.0089844813504,101,108,23,68
24,25.0,59.126850848681826,88.98013723365835,98,109,24,67
25,26.0,58.51940107733041,88.73806263124257,98,111,24,67
26,27.0,59.51691625069329,89.51146237751894,98,112,24,67
27,28.0,46.2544737640279,83.82605398847437,78,109,23,67
28,29.0,52.971974522292996,79.92554847841471,96,104,25,63
29,30.0,73.72665684830633,86.26568483063329,130,111,29,67
30,31.0,87.49967762733719,84.77995763102145,146,110,40,67
31,32.0,117.03428388337072,83.56018370180497,166,101,70,68
32,33.0,128.27812858783008,86.06716417910448,179,108,82,69
33,34.0,130.79301423027167,87.80172488141439,185,107,83,69
34,35.0,136.33443318406788,86.87587398853012,193,109,87,70
35,36.0,140.02600181025258,86.55039907841685,197,108,90,70
36,37.0,159.33585083785698,80.77145779246321,216,101,110,65
37,38.0,175.0643965716933,84.72295575631226,236,107,120,68
38,39.0,189.33670033670032,89.32134351646546,249,110,138,71
39,40.0,176.82633879781417,85.95180327868853,214,107,144,69
40,41.0,194.25096153846152,85.82924679487178,242,104,151,66
41,42.0,192.97431959730397,86.489122088559,237,108,150,67
42,43.0,195.99243570347957,85.88519078836778,239,108,149,68
43,44.0,198.08940316686966,85.84579780755176,243,108,152,68
44,45.0,196.76946752847027,86.79901508156355,249,107,150,67
45,46.0,199.419795221843,88.34617259873232,253,110,152,68
46,47.0,200.11903610573822,88.04932301740813,254,110,152,68
47,48.0,199.6355856946799,88.31541131831759,253,109,151,68
48,49.0,196.80210594003697,87.82855075958524,249,110,152,68
49,50.0,196.93588493417846,87.43726637412644,248,109,152,67
50,51.0,197.35241384982317,87.79496669133975,249,109,151,68
51,52.0,196.85283296541576,87.7466274221241,248,109,151,68
52,53.0,197.44304836987763,87.79995072678,248,109,153,67
53,54.0,198.90280561122245,88.09702738810955,250,109,153,68
54,55.0,199.218989280245,88.16981453122341,250,109,152,68
55,56.0,196.99572971615171,87.88637695721341,248,109,152,68
56,57.0,196.9588404327248,87.91244083840432,245,110,152,68
57,58.0,197.2320187557565,88.23319099053839,245,110,152,68
58,59.0,197.0183068257124,88.18646454605698,245,111,152,68
59,60.0,196.78870808678502,88.02079224194608,245,111,152,68
60,61.0,197.2654140231007,88.26183504148365,246,110,152,68
61,62.0,197.464031426467,88.22980603977412,246,110,152,68
62,63.0,197.23836308795956,88.29616043042309,246,110,152,68
63,64.0,196.26904993514913,87.7274643320363,244,110,151,67
64,65.0,190.8343500703895,85.96386672923511,239,108,146,65
65,66.0,184.36178167926522,85.66747947655043,230,109,142,65
66,67.0,184.6803955217782,86.1857481408842,231,110,142,65
67,68.0,184.17479171822154,86.31799059638703,230,110,142,65
68,69.0,183.70771715111337,86.39070202277749,231,110,142,66
69,70.0,184.81588110403396,86.1968577494692,233,109,142,65
70,71.0,185.86367456715413,86.6541435535384,236,109,142,66
71,72.0,185.8923333333333,87.05741666666665,236,110,143,66
72,73.0,187.6962183821688,87.14408548292846,237,110,144,66
73,74.0,188.01955512099732,87.75906461337895,238,111,144,67
74,75.0,188.07169162779277,87.87994107537442,239,111,144,67
75,76.0,188.26357540071965,87.7791135099771,238,111,144,67
76,77.0,188.6125662994696,87.69179926560588,239,111,145,67
77,78.0,189.17091320876807,87.64749656232306,239,110,145,67
78,79.0,189.17446013963303,87.70198084104562,239,110,145,67
79,80.0,188.9802390827031,87.86549564934536,239,111,145,67
80,81.0,189.15419995158558,87.758734769628,239,110,145,67
81,82.0,189.2125837977546,87.6974396252322,239,110,145,67
82,83.0,188.92059672762272,87.88306063522617,239,111,145,67
83,84.0,188.97167597313262,87.83321194464676,239,110,145,67
84,85.0,188.8126789366053,87.92523517382412,239,110,145,67
85,86.0,188.92074648570045,87.94732590079171,239,110,145,67
86,87.0,188.9746008708273,87.99024350911142,239,110,145,67
87,88.0,188.93317092976045,88.01218026796589,239,110,145,67
88,89.0,189.02799290093577,87.96966763472086,239,110,145,67
89,90.0,188.99570884948585,87.7732167435835,239,110,145,67
90,91.0,189.02847896440127,87.84571197411003,239,111,145,67
91,92.0,188.87475680933852,87.91909857328145,239,111,145,67
92,93.0,188.6571197411003,87.94838187702265,239,110,145,67
93,94.0,188.98232017437635,87.89287155889238,239,111,145,67
94,95.0,189.2692245817246,87.85143178893179,239,110,145,67
95,96.0,188.85802916767383,87.80001611473692,239,110,145,67
96,97.0,189.0559051306873,87.77500806711842,239,110,145,67
97,98.0,189.13611585713122,87.75884793751526,239,110,144,67
98,99.0,188.57722796060534,86.28024661702297,235,108,142,65
99,100.0,187.62634740393315,86.31547765983707,233,107,143,65
100,101.0,187.06118355065195,86.61810431293881,232,108,143,66
101,102.0,172.76896007766047,83.36306273510496,205,108,144,66
102,103.0,172.92102747909198,83.11851851851851,206,108,143,66
103,104.0,172.567287043665,83.3353614889048,206,108,143,66
104,105.0,187.18039215686272,86.36334533813525,232,109,143,65
105,106.0,181.9623821968797,81.16979488397877,226,107,142,59
106,107.0,181.1482785602504,79.46314553990611,222,106,142,55
107,108.0,167.94091231387378,83.63728039076656,209,108,128,60
108,109.0,147.11229188806234,87.32084661707403,186,106,109,64
109,110.0,145.41471006759159,86.9927961579509,184,107,109,63
110,111.0,145.09358781181984,86.26753725096266,177,108,110,64
111,112.0,145.0856834143706,86.49616423554833,175,106,115,64
112,113.0,144.9495990836197,87.88211149293623,174,108,116,65
113,114.0,144.07259808464627,89.11471527134177,170,110,117,66
114,115.0,143.92447679708826,89.16418966737437,170,109,117,66
115,116.0,144.28900922583233,88.7939229843562,170,109,117,66
116,117.0,147.79425500044056,86.00810644109612,183,107,113,64
117,118.0,150.2545025095955,88.18423383525244,194,107,114,66
118,119.0,153.13830409356726,86.8246588693957,200,107,113,67
119,120.0,157.94572995074805,87.33500604033081,214,105,112,68
120,121.0,161.7643322609915,87.54557452775714,219,104,115,68
121,122.0,165.0666019260338,86.84284211378166,223,104,117,68
122,123.0,170.29339361969355,86.8875491919953,226,107,121,68
123,124.0,174.8074074074074,86.63939393939394,229,106,129,68
124,125.0,185.1875323331609,87.80539748232452,239,108,138,69
125,126.0,191.31359867330016,88.70978441127694,249,107,141,70
126,127.0,196.40905770635501,88.09422936449964,255,108,146,69
127,128.0,196.52976037103838,88.79601477282486,250,109,150,70
128,129.0,200.05266897593035,86.70929922728484,252,111,152,67
129,130.0,198.0677618069815,86.33709787816564,248,108,150,67
130,131.0,197.4373298199385,85.08379446640316,245,107,151,66
131,132.0,189.54671058651294,83.99835300576449,229,106,148,64
132,133.0,186.8589493258949,84.32366341236633,225,105,151,64
133,134.0,185.20438194898625,83.88151297144103,215,102,154,65
134,135.0,182.05931712962962,85.02594521604937,210,107,155,64
135,136.0,178.23683683683683,87.01901901901901,204,109,152,65
136,137.0,178.89343358395988,87.69563909774436,204,110,154,65
137,138.0,179.14291772688716,88.58142493638677,204,110,154,65
138,139.0,179.11596548004312,88.77961165048544,204,109,153,65
139,140.0,179.44993053329057,88.989633429518,204,109,154,65
140,141.0,179.47230416256966,89.3394515459412,204,109,155,66
141,142.0,179.49600175265635,89.46259174060684,204,109,154,66
142,143.0,179.38986928104575,89.50098039215686,204,109,154,66
143,144.0,179.5326301911668,89.79499011206329,204,109,154,66
144,145.0,179.51070135001646,89.61859290966962,204,109,154,66
145,146.0,178.8876243207218,88.98728596329333,204,110,154,66
146,147.0,178.81877818778187,88.99948749487494,204,110,154,66
147,148.0,178.8173628173628,88.9539312039312,205,110,154,66
148,149.0,178.9038481064067,89.1055944765966,205,109,154,66
149,150.0,178.9692728932157,89.1376128181726,205,109,154,66
150,151.0,178.88592772057336,89.3354532606501,204,110,154,66
151,152.0,179.00160352776106,89.1946281820004,205,109,154,66
152,153.0,178.95974576271186,89.23950766747376,205,109,154,66
153,154.0,179.51809864757357,89.20902943516307,205,109,154,66
154,155.0,179.8238647933211,88.17878232539198,205,108,154,64
155,156.0,181.286340522532,87.5070138523584,209,109,154,64
156,157.0,180.3196417807629,85.48884870403857,207,108,154,61
157,158.0,174.93017415957877,84.93689752936412,202,110,149,58
158,159.0,176.34179970972423,84.43831640058055,203,109,151,58
159,160.0,170.0978697596846,83.7874308240467,198,109,144,57
160,161.0,166.33399950037472,87.38754267632608,193,110,140,61
161,162.0,163.55162799064578,88.55801403130059,190,111,139,63
162,163.0,164.15275264926336,87.79710519514086,190,111,138,62
163,164.0,159.67673716012084,84.86468918795202,185,108,134,57
164,165.0,156.77771998266144,84.45054182921542,182,110,132,58
165,166.0,154.9483779722443,84.39291081057189,181,111,132,57
166,167.0,158.92845075181617,84.23213380638622,187,111,134,58
167,168.0,154.0344504135755,84.66001534919417,182,111,129,58
168,169.0,152.1052956207595,85.82579962992334,179,112,127,61
169,170.0,152.8707356076759,85.91728855721392,179,112,128,61
170,171.0,156.47054263565892,86.75590008613264,182,112,131,61
171,172.0,154.48155772859837,86.44656030193858,180,112,129,61
172,173.0,154.7339625939521,86.48164656528579,179,112,129,60
173,174.0,154.05531107084303,86.0415048753128,178,112,129,59
174,175.0,150.6171198388721,88.6378650553877,173,112,126,62
175,176.0,149.47292250233426,90.81640989729225,172,112,126,63
176,177.0,150.5028564331843,92.61065573770492,174,113,127,71
177,178.0,150.19161600810537,92.94452887537994,173,113,127,72
178,179.0,149.9622833843017,93.17749745158001,173,113,127,73
179,180.0,149.95351213282245,93.27790549169859,173,113,127,73
180,181.0,149.70020800832032,93.4219968798752,172,113,127,74
181,182.0,149.80556634304207,93.55935275080905,172,113,127,74
182,183.0,149.65557729941293,93.5856490541422,172,113,127,74
183,184.0,149.6648473034438,93.67979207277453,172,114,127,75
184,185.0,149.5364953886693,93.46297760210803,172,113,127,75
185,186.0,149.55977830562153,93.50818157825283,172,113,127,74
186,187.0,149.47371209111375,93.34445768772348,172,113,127,73
187,188.0,149.48436460412506,93.46746506986028,172,113,127,73
188,189.0,149.26158806932688,93.36799677549375,172,113,127,74
189,190.0,149.12159244264507,93.65856950067476,171,113,127,74
190,191.0,149.0715820574805,93.54969110932043,171,112,127,74
191,192.0,149.035848047084,93.51243980738363,171,112,127,74
192,193.0,149.19187057093194,93.63337344564782,171,113,127,74
193,194.0,149.18602274179122,92.42545036412419,171,113,127,65
194,195.0,149.14459840903257,92.3423146009751,172,113,127,65
195,196.0,149.31474698141363,93.66273232939899,172,113,127,75
196,197.0,149.281245750034,93.7267781857745,172,113,127,75
197,198.0,149.35907804286293,93.71020353147324,172,112,127,74
198,199.0,149.35055600759424,93.85665852997016,172,113,127,74
199,200.0,149.30994386527667,93.88024592354985,172,113,127,74
200,201.0,149.2970376301041,93.92540699226048,172,113,127,74
201,202.0,149.92835386041583,93.64799364322606,172,113,127,74
202,203.0,150.51996322563696,93.58234830575256,172,113,128,74
203,204.0,150.74864900487677,93.5674179517596,173,113,128,74
204,205.0,150.7826086956522,93.72292490118578,172,113,128,74
